what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350086184587
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350086190508
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350086202769
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1350086202959
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1350086203046
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350086237239
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350086237281
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350086241917
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350086243725
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350086244199
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350086247364
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1350086264838
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1350086265944
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1350086282280
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1350086283609
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1350086290074
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1350086291857
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1350086296569
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1350086298737
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1350086302085
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1350086305076
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350086306791
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.findReplace",1350086306823
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350086308626
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.format",1350086309373
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1350086313449
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.format",1350086316870
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1350086327037
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1350086329194
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1350086337560
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1350086344013
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350086349424
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350086349458
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1350086356685
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350086377173
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350086377302
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350086409869
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350086410015
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350086412272
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350086412407
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350086414015
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350086414125
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350086416015
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350086416117
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350086418396
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350086418982
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350086419487
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350086421944
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1350086465767
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350086470490
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350086470521
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1350086486805
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1350086505152
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350086508463
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350086508571
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350086510694
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350086512416
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350086512938
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350086517166
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350086522069
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350086570590
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1350086570614
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1350086575900
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1350086786433
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350086791588
